Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVERNMENT MEDICAL COLLEGE BARAMULLA (Id: C-62953),Affiliated College,"B, Baramulla, BARAMULA",gmcbaramulla.com,State Government,2016,Medical-Allopathy,Rural,,2020,2019
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",GOVT DEGREE COLLEGE BONIYAR  (Id: C-63920),Affiliated College,"Chahlla, , Boniyar",,State Government,2020,No,Rural,,2020,2020
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Boys Baramullah, Kashmir (Id: C-21409)",Affiliated College,"Khawaja Bagh, Baramulla - 193103, Baramulla",www.baramullacollege.net,State Government,1943,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College for Women, Baramullah, Kmr. (Id: C-21459)",Affiliated College,"Govt. Degree College for Women Baramulla, Kashmir, Opposite SBI Baramulla, Baramulla",www.gdcwbla.edu.in,State Government,1986,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt.  Degree College for Women Sopore, Kashmir (Id: C-35390)",Affiliated College,"Nowpora Kalan Sopore, Near Fruit Mandi Sopore, Sopore",www.gdcwsopore.com,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College Pattan, Kashmir (Id: C-21443)",Affiliated College,"PATTAN, PATTAN BARAMULLA, BARAMULLA",www.gdcpattan.com,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",Govt. Degree College Sopore (Id: C-21433),Affiliated College,"Govt. Degree College Sopore,Kashmir-193201, Govt. Degree College Sopore,Kashmir-193201, Sopore",www.gdcsopore.ac.in,Central Government,1951,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","Govt. Degree College, Uri (Id: C-21413)",Affiliated College,"Uri, Near Main Complex Uri, Baramulla",www.uricollege.jk.gov.in,State Government,2005,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","GREEN VALLEY COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45964)",Affiliated College,"Dhobiwan Tangmarg Road, P/o: Dhobiwan",,Private Un-Aided,2004,No,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","GULZAR MEMOROIAL COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45965)",Affiliated College,"Nowpora Kalan, Sopore, Sopore",www.gmetjk.org,Private Un-Aided,2004,Education/Teacher Education,Rural,,2020,2011
